[北京] 平均房价：67951元/㎡ 平均工资：9942元/月 房价工资比：6.83
[厦门] 平均房价：44235元/㎡ 平均工资：7452元/月 房价工资比：5.94
[深圳] 平均房价：46879元/㎡ 平均工资：8892元/月 房价工资比：5.27
[上海] 平均房价：48384元/㎡ 平均工资：9802元/月 房价工资比：4.94
[天津] 平均房价：26687元/㎡ 平均工资：6733元/月 房价工资比：3.96
[南京] 平均房价：26127元/㎡ 平均工资：7342元/月 房价工资比：3.56
[广州] 平均房价：26453元/㎡ 平均工资：7996元/月 房价工资比：3.31
[福州] 平均房价：21979元/㎡ 平均工资：7073元/月 房价工资比：3.11
[杭州] 平均房价：22934元/㎡ 平均工资：7608元/月 房价工资比：3.01
[石家庄] 平均房价：22934元/㎡ 平均工资：7608元/月 房价工资比：3.01
[武汉] 平均房价：15716元/㎡ 平均工资：6769元/月 房价工资比：2.32
[青岛] 平均房价：15405元/㎡ 平均工资：6651元/月 房价工资比：2.32
[济南] 平均房价：14800元/㎡ 平均工资：6487元/月 房价工资比：2.28
[合肥] 平均房价：14495元/㎡ 平均工资：6684元/月 房价工资比：2.17
[苏州] 平均房价：15728元/㎡ 平均工资：7548元/月 房价工资比：2.08
[郑州] 平均房价：13574元/㎡ 平均工资：6692元/月 房价工资比：2.03
[宁波] 平均房价：13259元/㎡ 平均工资：7680元/月 房价工资比：1.73
[东莞] 平均房价：12242元/㎡ 平均工资：7862元/月 房价工资比：1.56
[大连] 平均房价：10263元/㎡ 平均工资：6669元/月 房价工资比：1.55
[南昌] 平均房价：9824元/㎡ 平均工资：6631元/月 房价工资比：1.47
[无锡] 平均房价：10068元/㎡ 平均工资：7021元/月 房价工资比：1.43
[成都] 平均房价：9758元/㎡ 平均工资：6941元/月 房价工资比：1.41
[兰州] 平均房价：9412元/㎡ 平均工资：6704元/月 房价工资比：1.40
[佛山] 平均房价：10782元/㎡ 平均工资：7873元/月 房价工资比：1.37
[哈尔滨] 平均房价：8002元/㎡ 平均工资：5915元/月 房价工资比：1.35
[太原] 平均房价：8463元/㎡ 平均工资：6355元/月 房价工资比：1.33
[长沙] 平均房价：8795元/㎡ 平均工资：6660元/月 房价工资比：1.32
[昆明] 平均房价：8900元/㎡ 平均工资：6862元/月 房价工资比：1.30
[海口] 平均房价：9421元/㎡ 平均工资：7407元/月 房价工资比：1.27
[西安] 平均房价：7556元/㎡ 平均工资：6197元/月 房价工资比：1.22
[重庆] 平均房价：8226元/㎡ 平均工资：6971元/月 房价工资比：1.18
[烟台] 平均房价：7406元/㎡ 平均工资：6274元/月 房价工资比：1.18
[南宁] 平均房价：8146元/㎡ 平均工资：6964元/月 房价工资比：1.17
[沈阳] 平均房价：7148元/㎡ 平均工资：6367元/月 房价工资比：1.12
[长春] 平均房价：6778元/㎡ 平均工资：6090元/月 房价工资比：1.11
[乌鲁木齐] 平均房价：6665元/㎡ 平均工资：7095元/月 房价工资比：0.94
[贵阳] 平均房价：6406元/㎡ 平均工资：7023元/月 房价工资比：0.91
